Starting training from scratch with 39-dim architecture.
Connected to Godot at 127.0.0.1:4242
Ep: 80 | Steps: 13 | Total Reward: -153.84 | Avg: -11.8339
Ep: 81 | Steps: 793 | Total Reward: -89742.98 | Avg: -113.1689
Ep: 82 | Steps: 486 | Total Reward: -74700.89 | Avg: -153.7055
Ep: 83 | Steps: 61 | Total Reward: -5525.74 | Avg: -90.5860
Ep: 84 | Steps: 91 | Total Reward: -433.87 | Avg: -4.7678
Ep: 85 | Steps: 190 | Total Reward: -9399.38 | Avg: -49.4704
Ep: 86 | Steps: 12 | Total Reward: -170.69 | Avg: -14.2243
Ep: 87 | Steps: 14 | Total Reward: -172.16 | Avg: -12.2970
Ep: 88 | Steps: 21 | Total Reward: -195.21 | Avg: -9.2955
Ep: 89 | Steps: 1000 | Total Reward: -58413.21 | Avg: -58.4132
Ep: 90 | Steps: 276 | Total Reward: -28332.82 | Avg: -102.6552
Ep: 91 | Steps: 361 | Total Reward: -42579.25 | Avg: -117.9481
Ep: 92 | Steps: 67 | Total Reward: -10088.13 | Avg: -150.5691

--- Updating Brain (Step 24000) ---
Ep: 93 | Steps: 1000 | Total Reward: -96746.55 | Avg: -96.7465
Ep: 94 | Steps: 1000 | Total Reward: -159969.64 | Avg: -159.9696
Ep: 95 | Steps: 1000 | Total Reward: -118133.34 | Avg: -118.1333
Ep: 96 | Steps: 433 | Total Reward: -56820.89 | Avg: -131.2261

--- Updating Brain (Step 28000) ---
Ep: 97 | Steps: 1000 | Total Reward: -166187.52 | Avg: -166.1875
Ep: 98 | Steps: 201 | Total Reward: -798.55 | Avg: -3.9729
Ep: 99 | Steps: 1000 | Total Reward: -81861.48 | Avg: -81.8615
Ep: 100 | Steps: 1000 | Total Reward: -159110.42 | Avg: -159.1104
Ep: 101 | Steps: 29 | Total Reward: -203.94 | Avg: -7.0322
Ep: 102 | Steps: 200 | Total Reward: -9675.02 | Avg: -48.3751
Ep: 103 | Steps: 27 | Total Reward: -256.86 | Avg: -9.5134
Ep: 104 | Steps: 7 | Total Reward: -177.60 | Avg: -25.3713
Ep: 105 | Steps: 16 | Total Reward: -207.80 | Avg: -12.9878
Ep: 106 | Steps: 1000 | Total Reward: -112766.19 | Avg: -112.7662

--- Updating Brain (Step 32000) ---
Ep: 107 | Steps: 1000 | Total Reward: -46992.50 | Avg: -46.9925
Ep: 108 | Steps: 1000 | Total Reward: -51111.74 | Avg: -51.1117
Ep: 109 | Steps: 1000 | Total Reward: -70281.95 | Avg: -70.2819
Ep: 110 | Steps: 1000 | Total Reward: -94192.37 | Avg: -94.1924

--- Updating Brain (Step 36000) ---
Ep: 111 | Steps: 1000 | Total Reward: -87311.44 | Avg: -87.3114
Ep: 112 | Steps: 1000 | Total Reward: -26316.45 | Avg: -26.3164
Ep: 113 | Steps: 1000 | Total Reward: -42744.41 | Avg: -42.7444
Ep: 114 | Steps: 1000 | Total Reward: -43862.60 | Avg: -43.8626

--- Updating Brain (Step 40000) ---
Ep: 115 | Steps: 1000 | Total Reward: -19152.85 | Avg: -19.1529
Ep: 116 | Steps: 1000 | Total Reward: -27509.02 | Avg: -27.5090
Ep: 117 | Steps: 1000 | Total Reward: -60881.07 | Avg: -60.8811
Ep: 118 | Steps: 1000 | Total Reward: -16424.79 | Avg: -16.4248

--- Updating Brain (Step 44000) ---
Ep: 119 | Steps: 1000 | Total Reward: -19587.04 | Avg: -19.5870
Ep: 120 | Steps: 1000 | Total Reward: -89864.66 | Avg: -89.8647
Ep: 121 | Steps: 1000 | Total Reward: -21871.77 | Avg: -21.8718
Ep: 122 | Steps: 1000 | Total Reward: -15097.67 | Avg: -15.0977

--- Updating Brain (Step 48000) ---
Ep: 123 | Steps: 1000 | Total Reward: -29131.85 | Avg: -29.1319
Ep: 124 | Steps: 1000 | Total Reward: -78633.83 | Avg: -78.6338
